题目	答案
写出程序运行结果:_________#include <iostream>using namespace std;class Integer{private:short a;public:Integer (short n=0){a=n;}Integer operator +(Integer);Integer operator -(Integer);Integer operator *(Integer);Integer  operator /(Integer);Integer operator =(Integer);void display(){ cout<<a<<endl; }};Integer Integer::operator+(Integer x){Integer temp;if(a+x.a<-32768||a+x.a>32767){cout<<"Data overflow!"<<endl;abort();}temp.a=a+x.a;return temp;}Integer Integer::operator-(Integer x){Integer temp;if(a-x.a<-32768||a-x.a>32767){cout<<"Data overflow!"<<endl;abort();}temp.a=a-x.a;return temp;}Integer Integer::operator*(Integer x){Integer temp;if(a*x.a<-32768||a*x.a>32767){cout<<"Data overflow!"<<endl;abort();}temp.a=a*x.a;return temp;}Integer  Integer::operator/(Integer x){Integer temp;if(a/x.a<-32768||a/x.a>32767){cout<<"Data overflow!"<<endl;abort();}temp.a=a/x.a;return temp;}Integer Integer::operator=(Integer x){a=x.a;return *this;}int main(){Integer A(90),B(30),C;cout<<"A=";A.display();cout<<"B=";B.display();C=A+B;cout<<"C=A+B="; C.display();C=A-B;cout<<"C=A-B="; C.display();C=A*B;cout<<"C=A*B="; C.display();C=A/B;cout<<"C=A/B="; C.display();}	(1) A=90B=30C=A+B=120C=A-B=60C=A*B=2700C=A/B=3
写出程序运行结果:_________#include<iostream>using namespace std;class A{public:virtual ~A( ){cout<<"A::~A( )called "<<endl;}};class B:public A{char *buf;public:B(int i){buf=new char[i];}virtual ~B( ){delete []buf;cout<<"B::~B( )called"<<endl;}};void fun(A *a){delete a;}int main( ){A *a=new B(10);fun(a);return 0;}	(1) B::~B( )calledA::~A( )called
运算符[ ]只能用__________运算符来重载，不能用友元运算符来重载。	(1) 成员
多数运算符既能作为类的成员函数重载，也能作为类的非成员函数重载，但[]运算符只能作为类的______函数重载。	(1) 成员
写出程序运行结果:_______#include <iostream.h>class A{int a;public:void f( int a ){cout<< a << endl;}void g( ){cout<< "g( )" << endl;}};class B: public A{public:void h( ){cout<< "h( )" << endl;}};void main( ){B    objb;objb.f(5);objb.g( );objb.h( );}	(1) 5g( )h( )
写出下列程序的执行结果是：__________________。#include <iostream>#include<cstring>using namespace std;class s{public:s(){ *str = '\0'; }s( char *pstr ){strcpy( str,pstr );}char *gets(){return str;}s operator+( s obj );private:char str[10];};s s::operator+( s obj ){strcat( str,obj.str );return str;     //或return *this}void main(){s obj1( "Visual"),obj2("C++"),obj3;obj3 = obj1 + obj2;cout << obj3.gets() << endl;}	(1) VisualC++
写出程序运行结果:_________#include <iostream.h>const float PI = 3.14;class Base{public:virtual void area() = 0;virtual void perimeter() = 0;};class Rectangle:public Base{public:Rectangle(float w,float h){width = w;height = h;}void area(){cout<<"矩形的长为:"<<width<<endl<<"宽为:"<<height<<endl<<"面积为:"<<width*height<<endl;}void perimeter(){cout<<"周长为:"<<2*(width+height)<<endl;}private:float width,height;};class Circle:public Base{public:Circle(float r){radius = r;}void area(){cout<<"圆形的半径为:"<<radius<<"面积为:"<<PI*radius*radius<<endl;}void perimeter(){cout<<"周长为:"<<2*PI*radius<<endl;}private:float radius;};int main(){Base * p;Rectangle obj1(2.5,3.7);Circle obj2(1.3);p = &obj1;p->area();p->perimeter(); p = &obj2;p->area();p->perimeter(); return 0;}	(1) 矩形的长为:2.5宽为:3.7面积为:9.25周长为:12.4圆形的半径为:1.3面积为:5.3066周长为:8.164
已知类sample 是一个抽象类，其成员函数 display 是无形参、无返回类型的纯虚函数，请完成其声明：class sample{public: sample(){};virtual void ______};	(1) display()=0
对赋值运算符进行重载时，应声明为_______________函数。	(1) 类成员
写出程序运行结果:_________#include<iostream>#include<fstream>using namespace std;class Animal{public:virtual void Speak()=0;};class Cat :public Animal{void Speak(){cout<<"My name is Cat"<<endl;}};class Leopard:public Animal{void Speak(){cout<<"My name is Leopard"<<endl;}};int main(){Animal *pa;Cat cat;pa=&cat;pa->Speak();Leopard leopard;pa=&leopard;pa->Speak();return 0;}	(1) My name is CatMy name is Leopard
有如下程序：#include<iostream>using namespace std;class Wages{     //"工资"类double base;  //基本工资double bonus; //奖金double tax;   //税金public:Wages(double CBase,double CBonus,double CTax):base(CBase),bonus(CBonus),tax(CTax){}double getPay()const;           //返回应付工资额Wages operator+(Wages w)const;  //重载加法};double Wages::getPay()const{return base+bonus-tax;}Wages Wages::operator+(Wages w)const{return Wages(base+w.base, bonus+w.bonus,tax+w.tax);}int main(){Wages w1(2000,500,100),w2(5000,1000,300);cout<<(w1+w2).getPay()<<endl;return 0;}程序的输出结果是______。	(1) 8100
写出下列程序的执行结果是：__________________。#include <iostream>using namespace std;const double n = 1.852;     // 定义海里与千米和米的转换系数(1海里=1.852千米)class nauticalmile_kilometer{public:nauticalmile_kilometer( int km,double m ){kilometer = km;  meter = m;}void print(){cout<<"kilometer="<<kilometer<<'\t'<<"meter="<<meter<<endl;}operator double();private:int kilometer;double meter;};nauticalmile_kilometer::operator double(){return ( meter / 1000 + double( kilometer )) / n;}void main(){nauticalmile_kilometer  obj( 100,50 );cout << "nauticalmile=" << double( obj ) << endl;}	(1) nauticalmile=54.0227
如下程序声明了一个电话号码类PhoneNumber，重载了流插入运算符<<，以便于电话号码的输出。请将程序补充完整。#include<iostream>#include<iomanip>#include<string>using namespace std;class PhoneNumber{public:void setNumber(string number){this->number=number;}//重载流插入操作符friend <span style="text-decoration: underline;">      </span>(ostream &output,const PhoneNumber &num){output<<num.number;return output;}private:string number;};int main(){PhoneNumber phone;phone.setNumber("8008100598");cout<<"The phone number is:"<<phone<<endl;return 0;}	(1) ostream& operator<<
写出下列程序的执行结果是：__________________。#include <iostream.h>#include<cstring>class s{public:s(){ *str= '\0'; }s( char *pstr ){strcpy( str,pstr );}char *gets(){return str;}friend s operator+( s obj1,s obj2 );private:char str[100];};s operator+( s obj1,s obj2 ){s tempobj;strcat( tempobj.str,obj1.str );strcat( tempobj.str,obj2.str );return tempobj;}void main(){s obj1( "Visual" ),obj2( "C#" ),obj3;obj3 = obj1 + obj2;cout << obj3.gets() << endl;}	(1) VisualC#
写出程序运行结果:_________using namespace std;class Vector{public:Vector(){ }Vector(int i,int j){x = i ;y = j ;}friend Vector operator+ ( Vector v1, Vector v2 ){Vector tempVector ;tempVector.x = v1.x + v2.x ;tempVector.y = v1.y + v2.y ;return  tempVector ;}void display(){cout << "( " << x << ", " << y << ") "<< endl ;}private:int x , y ;};int main(){Vector v1( 1, 2 ), v2( 3, 4 ), v3 ;cout << "v1 = " ;v1.display() ;cout << "v2 = " ;v2.display() ;v3 = v1 + v2 ;cout << "v3 = v1 + v2 = " ;v3.display() ;}	(1) v1 = ( 1, 2)v2 = ( 3, 4)v3 = v1 + v2 = ( 4, 6)
下面程序的运行结果如下：B：：display()C：：display()在下划线处填上缺少的部分。源程序如下：#include<iostream>using namespace std;class B{public:_________________  void display( )  {cout  <<  "B：：display( ) "<<endl;}};class C:public B{public:void display(){cout<<"C：：display()"<<endl;}};void fun(B*p){p->display();}void main(){B b,*pb;C c;pb=&b;fun(pb);pb=&c;fun(pb);}	(1) virtual
若将一个二元运算符重载为类的成员函数，其形参个数应该是______个。	(1) 1
定义虚函数所用的关键字是__________。	(1) virtual
有如下程序： #include  using namespace std; class A { public: A(){cout<<"A";} ~A(){cout<<"A";} }; class B { A a; public: B(){ cout<< "B";} ~B(){cout<<"B";} }; int main(){ B b; return 0; } 程序的输出结果是______。	(1) ABBA
类继承中，缺省的继承方式是______。	(1) 私有继承
请将如下程序补充完整，使得输出结果为：bbaa #include  using namespace std; class A{ public: ______{cout<<"aa"; } }; class B: public A { public: ~B(){cout<<"bb";} }; int main (){ B *p=new B; delete p; return 0; }	(1) ~A()
在保护派生中，基类权限为Private的成员在派生类中________________。	(1) 不可访问
基类中被说明为______的成员只能被其派生类的成员函数访问，不能被外界函数访问。	(1) protected
阅读下列程序,写出程序的运行结果____。#include <iostream>using namespace std;class Animal{public:void speak() { cout << "animal language!" << endl; }};class Cat :public Animal{public:void speak() { cout << "cat language: miaomiao!" << endl; }};int main(){Animal *p=new Cat;p->speak();}	(1) animal language!
有如下程序： #include  using namespace std; class PARENT { public: PARENT(){cout<<"PARENT";} }; class SON:public PARENT { public: SON(){cout<< "SON";} }; int main( ) { SON son; PARENT *p; p=&son; return 0; } 执行上面程序的输出是______。	(1) PARENTSON
下列程序的输出结果是______。 #include  using namespace std; class A{ int a; public: A():a(9){} virtual void print() const{cout<  print(); show(d1); show(d2); return 0; }	(1) 9SS9S
请将横线处缺失部分补充完整。 #include  using namespace std; class base { private:int x; public:base(int a){x=a;} int get(){return x;} void showbase() {cout<<"x="<	(1) b=d
在声明派生类时，如果不显式地给出继承方式，缺省的类继承方式是私有继承private。已知有如下类定义： classe Base{ protected: void fun(){} }; class Derived:Base{}; 则Base类中的成员函数fun()，在Derived类中的访问权限是______。（注意：要求填写private、protected或public中的一项）。	(1) private
请将下列类定义补充完整。 class Base{public:void fun(){cout<<"Base::fun"<	(1) Base::fun()
用来派生新类的类称为______，而派生出的新类称为它的子类或派生类。	(1) 基类 父类
有如下程序： #include  using namespace std; class Pet{ char name[10]; public: Pet(char *name){ strcpy(this->name,name);} const char *getName()const{return name;} virtual void call()const=0; }; class Dog: public Pet{ public: Dog(char *name):Pet(name){} void call()const{ cout<<"汪汪叫";} }; class Cat:public Pet{ public: Cat(char *name):Pet(name){} void call()const{ cout<<"喵喵叫";} }; int main(){ Pet *pet1=new Dog("哈克"), *pet2=new Cat("吉米"); cout<  getName();pet1->call();cout<	(1) 哈克汪汪叫
有如下程序： #include  using namespace std; class Base{ int b; public: Base(int i){b=i;} void disp(){cout<<"Base:b="<	(1) Base(j)
如下程序声明了一个二维图形类TwoDShape，从其派生出矩形类Rec。 #include  #include  using namespace std; class TwoDShape{ //二维图形类. char name[20]; public: TwoDShape(char *n="unknown"){ strcpy(name,n); } char *getName(){return name;}=0; }; class Rec:public TwoDShape{ double width,height; public: Rec(double w=0.0,double h=0.0):TwoDShape("rectangle") {width=w;height=h;} double getWidth(){return width;} double getHeight(){return height;} double area(){return width*height;} }; int main(){ TwoDShape *shape; shape=new Rec(2.1,3.0); cout<<"object is "<  getName()<<"\n", cout<<"Area is "<  area()<<"\n"; return 0; } 请将程序补充完整，使程序在运行时输出： object is triangle Area is 6.3	(1) virtual double area()
下列程序的运行结果为____。#include<iostream>using namespace std;class Pet{public:Pet (int x ){name=x;cout<<"How does Pet speak?"<<endl;}~ Pet ( ){cout<<"Pet destruction!"<<endl;}private:int name;};class Dog:public Pet{public:Dog (int x): Pet(x){cout<<"Dog construction!"<<endl;}~ Dog ( ){cout<<"Dog destruction!"<<endl;}};int main( ){Dog dog(10);}	(1) How does Pet speak?Dog construction!Dog destruction!Pet destruction!
有如下程序： #include  using namespace std; class ONE { public : virtual void f(){cout<<"1";} }; class TWO : public ONE { public: TWO(){cout<<"2";} }; class THREE : public TWO { public : virtual void f(){TWO::f();cout<<"3"; } }; int main() { ONE aa,*p; TWO bb; THREE cc; p=&cc; p->f(); return 0; } 执行上面程序的输出是______。	(1) 2213
从一个或多个以前定义的类产生新类的过程称为____________。	(1) 派生
如果不使用多态机制，那么通过基类的指针虽然可以指向派生类对象，但是只能访问从基类继承的成员。下列程序没有使用多态机制，其输出结果是______。 #include  using namespace std; class Base{ public: void print(){cout<<'B';}}; class Derived:public Base{ public: void print(){cout<<'D';}}; int main() { Derived*pd=new Derived(); Base*pb=pd; pb->print(); pd->print(); delete pd; return 0; }	(1) BD
有如下程序： #include  using namespace std; class CA{ public: CA(){cout<< 'A';} }; class CB:private CA{ public: CB(){cout<< 'B';} }; int main(){ CA a; CB b; return 0; } 这个程序的输出结果是______。	(1) AAB
阅读下列程序,程序的运行结果是____。#include <iostream>using namespace std;class Animal{public:void speak() { cout <<"animal language!" << endl; }};class Cat:public Animal{public:void speak() { cout <<"cat language: miaomiao!" << endl; }};int main(){Cat cat;cat.speak();}	(1) cat language: miaomiao!
写出程序运行结果:_________#include<iostream>using namespace std;class A{public:virtual ~A( ){cout<<"A::~A( )called "<<endl;}};class B:public A{char *buf;public:B(int i){buf=new char[i];}virtual ~B( ){delete []buf;cout<<"B::~B( )called"<<endl;}};void fun(A *a){delete a;}int main( ){A *a=new B(10);fun(a);return 0;}	(1) B::~B( )calledA::~A( )called
运算符[ ]只能用__________运算符来重载，不能用友元运算符来重载。	(1) 成员
多数运算符既能作为类的成员函数重载，也能作为类的非成员函数重载，但[]运算符只能作为类的______函数重载。	(1) 成员
写出程序运行结果:_______#include <iostream.h>class A{int a;public:void f( int a ){cout<< a << endl;}void g( ){cout<< "g( )" << endl;}};class B: public A{public:void h( ){cout<< "h( )" << endl;}};void main( ){B    objb;objb.f(5);objb.g( );objb.h( );}	(1) 5g( )h( )
写出下列程序的执行结果是：__________________。#include <iostream>#include<cstring>using namespace std;class s{public:s(){ *str = '\0'; }s( char *pstr ){strcpy( str,pstr );}char *gets(){return str;}s operator+( s obj );private:char str[10];};s s::operator+( s obj ){strcat( str,obj.str );return str;     //或return *this}void main(){s obj1( "Visual"),obj2("C++"),obj3;obj3 = obj1 + obj2;cout << obj3.gets() << endl;}	(1) VisualC++
写出程序运行结果:_________#include <iostream.h>const float PI = 3.14;class Base{public:virtual void area() = 0;virtual void perimeter() = 0;};class Rectangle:public Base{public:Rectangle(float w,float h){width = w;height = h;}void area(){cout<<"矩形的长为:"<<width<<endl<<"宽为:"<<height<<endl<<"面积为:"<<width*height<<endl;}void perimeter(){cout<<"周长为:"<<2*(width+height)<<endl;}private:float width,height;};class Circle:public Base{public:Circle(float r){radius = r;}void area(){cout<<"圆形的半径为:"<<radius<<"面积为:"<<PI*radius*radius<<endl;}void perimeter(){cout<<"周长为:"<<2*PI*radius<<endl;}private:float radius;};int main(){Base * p;Rectangle obj1(2.5,3.7);Circle obj2(1.3);p = &obj1;p->area();p->perimeter(); p = &obj2;p->area();p->perimeter(); return 0;}	(1) 矩形的长为:2.5宽为:3.7面积为:9.25周长为:12.4圆形的半径为:1.3面积为:5.3066周长为:8.164
已知类sample 是一个抽象类，其成员函数 display 是无形参、无返回类型的纯虚函数，请完成其声明：class sample{public: sample(){};virtual void ______};	(1) display()=0
对赋值运算符进行重载时，应声明为_______________函数。	(1) 类成员
写出程序运行结果:_________#include<iostream>#include<fstream>using namespace std;class Animal{public:virtual void Speak()=0;};class Cat :public Animal{void Speak(){cout<<"My name is Cat"<<endl;}};class Leopard:public Animal{void Speak(){cout<<"My name is Leopard"<<endl;}};int main(){Animal *pa;Cat cat;pa=&cat;pa->Speak();Leopard leopard;pa=&leopard;pa->Speak();return 0;}	(1) My name is CatMy name is Leopard
有如下程序：#include<iostream>using namespace std;class Wages{     //"工资"类double base;  //基本工资double bonus; //奖金double tax;   //税金public:Wages(double CBase,double CBonus,double CTax):base(CBase),bonus(CBonus),tax(CTax){}double getPay()const;           //返回应付工资额Wages operator+(Wages w)const;  //重载加法};double Wages::getPay()const{return base+bonus-tax;}Wages Wages::operator+(Wages w)const{return Wages(base+w.base, bonus+w.bonus,tax+w.tax);}int main(){Wages w1(2000,500,100),w2(5000,1000,300);cout<<(w1+w2).getPay()<<endl;return 0;}程序的输出结果是______。	(1) 8100
写出下列程序的执行结果是：__________________。#include <iostream>using namespace std;const double n = 1.852;     // 定义海里与千米和米的转换系数(1海里=1.852千米)class nauticalmile_kilometer{public:nauticalmile_kilometer( int km,double m ){kilometer = km;  meter = m;}void print(){cout<<"kilometer="<<kilometer<<'\t'<<"meter="<<meter<<endl;}operator double();private:int kilometer;double meter;};nauticalmile_kilometer::operator double(){return ( meter / 1000 + double( kilometer )) / n;}void main(){nauticalmile_kilometer  obj( 100,50 );cout << "nauticalmile=" << double( obj ) << endl;}	(1) nauticalmile=54.0227
如下程序声明了一个电话号码类PhoneNumber，重载了流插入运算符<<，以便于电话号码的输出。请将程序补充完整。#include<iostream>#include<iomanip>#include<string>using namespace std;class PhoneNumber{public:void setNumber(string number){this->number=number;}//重载流插入操作符friend <span style="text-decoration: underline;">      </span>(ostream &output,const PhoneNumber &num){output<<num.number;return output;}private:string number;};int main(){PhoneNumber phone;phone.setNumber("8008100598");cout<<"The phone number is:"<<phone<<endl;return 0;}	(1) ostream& operator<<
写出下列程序的执行结果是：__________________。#include <iostream.h>#include<cstring>class s{public:s(){ *str= '\0'; }s( char *pstr ){strcpy( str,pstr );}char *gets(){return str;}friend s operator+( s obj1,s obj2 );private:char str[100];};s operator+( s obj1,s obj2 ){s tempobj;strcat( tempobj.str,obj1.str );strcat( tempobj.str,obj2.str );return tempobj;}void main(){s obj1( "Visual" ),obj2( "C#" ),obj3;obj3 = obj1 + obj2;cout << obj3.gets() << endl;}	(1) VisualC#
写出程序运行结果:_________using namespace std;class Vector{public:Vector(){ }Vector(int i,int j){x = i ;y = j ;}friend Vector operator+ ( Vector v1, Vector v2 ){Vector tempVector ;tempVector.x = v1.x + v2.x ;tempVector.y = v1.y + v2.y ;return  tempVector ;}void display(){cout << "( " << x << ", " << y << ") "<< endl ;}private:int x , y ;};int main(){Vector v1( 1, 2 ), v2( 3, 4 ), v3 ;cout << "v1 = " ;v1.display() ;cout << "v2 = " ;v2.display() ;v3 = v1 + v2 ;cout << "v3 = v1 + v2 = " ;v3.display() ;}	(1) v1 = ( 1, 2)v2 = ( 3, 4)v3 = v1 + v2 = ( 4, 6)
下面程序的运行结果如下：B：：display()C：：display()在下划线处填上缺少的部分。源程序如下：#include<iostream>using namespace std;class B{public:_________________  void display( )  {cout  <<  "B：：display( ) "<<endl;}};class C:public B{public:void display(){cout<<"C：：display()"<<endl;}};void fun(B*p){p->display();}void main(){B b,*pb;C c;pb=&b;fun(pb);pb=&c;fun(pb);}	(1) virtual
若将一个二元运算符重载为类的成员函数，其形参个数应该是______个。	(1) 1
定义虚函数所用的关键字是__________。	(1) virtual
写出下面程序的执行结果：#include <iostream>#include <iomanip>#include <string>using namespace std;int main() {double values[] = { 1.23, 35.36};string names[] = { "Zoot", "Jimmy"};for (int i = 0; i < 2; i++)cout << setw(6) << names[i] << setw(10) << values[i] << endl;return 0;}	(1)   Zoot      1.23 Jimmy     35.36
写出下面程序的执行结果：#include <iostream>#include <fstream>#include <cstring>using namespace std;struct SalaryInfo {unsigned id;double salary;};int main() {SalaryInfo employee1 = { 600001, 8000 };ofstream os("payroll", ios_base::out | ios_base::binary);os.write(reinterpret_cast<char *>(&employee1), sizeof(employee1));os.close();ifstream is("payroll", ios_base::in | ios_base::binary);if (is) {SalaryInfo employee2;is.read(reinterpret_cast<char *>(&employee2), sizeof(employee2));cout << employee2.id << " " << employee2.salary << endl;} else {cout << "ERROR: Cannot open file 'payroll'." << endl;}is.close();return 0;}	(1) 600001 8000
已知int DBL(int n){return n+n;}和long DBL(Long n){return n+n;} 是一个函数模板的两个实例，则该函数模板的定义是______。	(1) template T DBL(T n){return n+n
写出下列程序的执行结果是：__________________。#include <iostream>using namespace std;template <typename T>class Base{public:Base( T i , T j ){x = i;  y = j;}T sum(){return x + y;}private:T x , y;} ;void main(){Base<double> obj2(3.3,5.5);cout << obj2.sum() <<",";Base<int> obj1(3,5);cout << obj1.sum() << endl;}	(1) 8.8,8
通过键盘输入：Type \t字符串后，请写出下面程序的执行结果：#include <iostream>#include <string>using namespace std;int main() {string line;getline(cin, line, 't');cout << line << endl;return 0;}	(1) Type \
如下函数的作用是以双倍行距输出文件：void double_space(ifstream& f, ofstream& t){char c;while(______){______;if(c=='\n')t.put(c);}}下划线处应填入的内容是______。	(1) f.get(c)
写出下列程序的执行结果是：__________________。#include <iostream>using namespace std;template <typename T>double average( T *array,int size ){T sum = 0;for( int i=0; i<size; i++ )sum += array[i];return sum / size;}void main(){int a[] = { 1, 2, 3, 4, 5, 6, 7, 8, 9, 10 };double b[] = { 1.1, 2.2, 3.3, 4.4, 5.5, 6.6, 7.7, 8.8, 9.9, 10 };cout << "Average of array a:" << average( a,10 ) << ";";cout << "Average of array b:" << average( b,10 ) << endl;}	(1) Average of array a:5
写出下面程序的执行结果：#include <iostream>#include <iomanip>#include <string>using namespace std;int main() {double values[] = { 1.23, 35.36};string names[] = { "Zoot", "Jimmy"};cout<<setprecision(6)<<3466.9768<<endl;cout<<scientific<<setprecision(6)<<dec<<3466.9768<<endl;for (int i=0;i<2;i++)cout << setiosflags(ios_base::left)<< setw(6) << names[i]<< resetiosflags(ios_base::left)<< setw(10) << setprecision(1) << values[i] << endl;return 0;}	(1) 3466.983.466977e+003Zoot    1.2e+000Jimmy   3.5e+001
写出下列程序的执行结果是：__________________。#include <iostream>using namespace std;template <typename T>void fun( T &x, T &y ){T temp;temp = x;  x = y;  y = temp;}void main(){int i , j;i = 10;j = 20;fun( i, j );cout << "i=" << i << "," << "j=" << j << ",";double a , b;a = 1.1;b = 2.2;fun( a, b );cout << "a=" << a <<","<< "b=" << b << endl;}	(1) i=20,j=10,a=2.2,b=1.1
写出下面程序的执行结果：#include <iostream>#include <cmath>#include <iomanip>using namespace std;int main(){int x; double a;cout << "x   sin(x)    cos(x)" << endl;     //输出表头for( x=10; x<20; x+=10 ){a = x * 3.14 / 180;cout << setw(3) << setiosflags( ios::left );cout << setiosflags( ios::fixed );cout << setprecision(5);cout << x;cout << setw(10) << sin(a);cout << setw(10) << cos(a)<<endl;}}	(1) x   sin(x)    cos(x)10 0.17356   0.98482
下列程序运行结果为______。#include<iostream>using namespace std;class S{public:~S( ){cout<<"S"<< "\t";}};char fun0(){S s1;throw( 'T');return     '0';}int main(){try{cout<<fun0()<< "\t";}catch(char c){cout<<c<< "\t";}return 0;}	(1) S T
在下划线处填上缺少的部分。源程序如下：#include  <iostream>using namespace std;template<class T>T fun(T x){_________________ y;y=x*x-T(5);return y;}void main(){float a=2;cout<<fun(a);}	(1) T
写出下列程序的执行结果：#include <iostream>#include <sstream>#include <string>#include <stdexcept>//处理异常;using namespace std;istream &f(istream &in) {//不能拷贝IO对象, 不能将形参或返回类型设置为流类型;//进行IO操作的函数通常以引用方式传递和返回值;string v;while (in >> v, !in.eof()) {//直到遇到文件结束符才停止读取;if (in.bad()) {//不可恢复的错误, IO流崩溃;throw runtime_error("IO流错误");//抛出异常;}if (in.fail()) {//可以恢复的错误;//比如输入类型不匹配;cerr << "数据错误, 请重试: " << endl;in.clear();//将in中所有条件状态位复位, 将流的状态设置为有效, 返回void;//恢复正常;in.ignore(100, '\n');//读取并忽略最多100个字符, 包括'\n';continue;}cout << v << endl;}in.clear();return in;//返回引用;}//读写一个IO对象会改变其状态, 因此传递和返回的引用不能是const的;int main() {ios::sync_with_stdio(false);cin.tie(NULL);ostringstream msg;//字符串输出流;//向string写入数据;msg << "C++ Primer" << endl;istringstream in(msg.str());//strm.str() : 返回strm所保存的string拷贝;f(in);return 0;}	(1) C++Primer
写出下面程序的执行结果：#include <iostream>#include <sstream>#include <string>using namespace std;template <class T>inline string toString(const T &v) {ostringstream os;os << v;return os.str();}int main() {string str1 = toString(5);cout << str1 << endl;string str2 = toString(1.2);cout << str2 << endl;return 0;}	(1) 51.2
以下函数模板max的功能是：返回数组a中最大元素的值。请将横线处缺失部分补充完整。template<typename T> T max(T a[],int n){T m=a[0];for(int i=1;i<n;i++)if(a[i]>m)//缺失部分;return m;}	(1) m=a[i]；
写出下面程序的执行结果：#include <iostream>#include <iomanip>#include <string>using namespace std;int main() {double values[] = { 1.23, 35.36};string names[] = { "Zoot", "Jimmy"};for (int i=0;i<2;i++)cout << setiosflags(ios_base::left)<< setw(6) << names[i]<< resetiosflags(ios_base::left)<< setw(10) << values[i] << endl;return 0;}	(1) Zoot        1.23Jimmy      35.36
写出程序运行结果。#include <iostream >using namespace std;int a[10]= {1,2, 3, 4, 5, 6, 7, 8, 9, 10};int fun( int i);int main(){int i ,s=0;for(i=0; i<=10; i++){try{s=s+fun(i);}catch(int){cout<< "数组下标越界!"<<endl;}}cout<<"s="<<s<<endl;return 0;}int fun(int i){if(i>=10) throw i;return a[i];}	(1) 数组下标越界!s=55
写出程序的运行结果：#include <iostream.h>#include <iomanip.h>void main(){double amount = 33.0/9;int number = 248;cout<<amount<<endl;cout<<setprecision(1)<<amount<<endl<<setprecision(2)<<amount<<endl<<setprecision(3)<<amount<<endl<<setprecision(4)<<amount<<endl;cout<<setiosflags(ios::fixed);cout<<setprecision(8)<<amount<<endl;cout<<"Dec:"<<dec<<number<<endl<<"Hex:"<<hex<<number<<endl<<"Oct:"<<oct<<number<<endl;}	(1) 3.6666743.73.673.6673.66666667Dec:248Hex:f8Oct:370
写出以下程序的运行结果：#include <iostream >using namespace std;void f();class T{public:T(){cout<<"constrictor"<<endl;try{throw "exception";}catch(char *){cout<<"exception"<<endl;}throw "exception";}~T(){cout<<"destructor";}};void main(){cout<<"main function"<<endl;try{f();}catch(char *){cout<<"exception2"<<endl;}cout<<"main function"<<endl;}void f(){T t;}	(1) main functionconstrictorexceptionexception2main function
